jobid,cacheddata,bandwidth,experiment
job_1588341712669_0005,0,10Gbps,wordcount
job_1588341712669_0006,0,10Gbps,wordcount
job_1588341712669_0007,0,10Gbps,wordcount
job_1588341712669_0008,0,10Gbps,wordcount
job_1588341712669_0009,4,10Gbps,wordcount
job_1588341712669_0010,4,10Gbps,wordcount
job_1588341712669_0011,4,10Gbps,wordcount
job_1588341712669_0012,8,10Gbps,wordcount
job_1588341712669_0013,8,10Gbps,wordcount
job_1588341712669_0014,8,10Gbps,wordcount
job_1588341712669_0015,16,10Gbps,wordcount
job_1588341712669_0016,16,10Gbps,wordcount
job_1588341712669_0017,16,10Gbps,wordcount
job_1588341712669_0018,24,10Gbps,wordcount
job_1588341712669_0019,24,10Gbps,wordcount
job_1588341712669_0020,24,10Gbps,wordcount
job_1588341712669_0021,32,10Gbps,wordcount
job_1588341712669_0022,32,10Gbps,wordcount
job_1588341712669_0023,32,10Gbps,wordcount
job_1588341712669_0024,48,10Gbps,wordcount
job_1588341712669_0025,48,10Gbps,wordcount
job_1588341712669_0026,48,10Gbps,wordcount
job_1588341712669_0027,64,10Gbps,wordcount
job_1588341712669_0028,64,10Gbps,wordcount
job_1588341712669_0029,64,10Gbps,wordcount
job_1588341712669_0030,80,10Gbps,wordcount
job_1588341712669_0031,80,10Gbps,wordcount
job_1588341712669_0032,80,10Gbps,wordcount
job_1588341712669_0033,96,10Gbps,wordcount
job_1588341712669_0034,96,10Gbps,wordcount
job_1588341712669_0035,96,10Gbps,wordcount
job_1588341712669_0036,112,10Gbps,wordcount
job_1588341712669_0037,112,10Gbps,wordcount
job_1588341712669_0038,112,10Gbps,wordcount